State,county_name,lat,lng,Percent_Republican,Percent_Democrat,Difference,Never,Rarely,Sometimes,Frequently,Always,Never_Rarely,Frequently_Always,Majority,White,Black,UnemploymentRate,Med_Household_Income,LessHS,HSGrad,Bachelors,GradProfDegree
Tennessee,Fayette County,35.1971,-89.4144,0.68,0.31,0.38,0.022,0.001,0.089,0.205,0.682,0.023,0.887,Republican,0.7,0.27,0.0358,60711,0.14,0.32,0.15,0.08
Alabama,Escambia County,31.1261,-87.1616,0.68,0.31,0.37,0.114,0.026,0.188,0.285,0.387,0.14,0.6719999999999999,Republican,0.62,0.32,0.053,36275,0.19,0.44,0.08,0.04
Tennessee,Hardin County,35.1987,-88.1845,0.83,0.15,0.67,0.142,0.14,0.107,0.241,0.371,0.28200000000000003,0.612,Republican,0.94,0.04,0.0316,40682,0.18,0.42,0.1,0.05
Idaho,Canyon County,43.6251,-116.7093,0.68,0.29,0.4,0.113,0.095,0.17,0.24,0.381,0.20800000000000002,0.621,Republican,0.83,0,0.0353,52134,0.15,0.32,0.13,0.05
Kentucky,Hart County,37.2999,-85.8847,0.76,0.23,0.53,0.053,0.034,0.118,0.185,0.61,0.087,0.7949999999999999,Republican,0.93,0.04,0.0306,38396,0.24,0.4,0.07,0.05
Alabama,Colbert County,34.7005,-87.8049,0.69,0.3,0.39,0.082,0.096,0.152,0.159,0.51,0.178,0.669,Republican,0.79,0.16,0.0233,48065,0.15,0.38,0.12,0.07
Michigan,Gogebic County,46.4089,-89.6944,0.56,0.43,0.12,0.039,0.064,0.139,0.257,0.501,0.10300000000000001,0.758,Republican,0.91,0.04,0.026,38839,0.06,0.37,0.13,0.07
Kentucky,Woodford County,38.0424,-84.7436,0.55,0.43,0.12,0.042,0.017,0.049,0.193,0.698,0.059000000000000004,0.891,Republican,0.92,0.05,0.0241,63820,0.09,0.3,0.2,0.14
Kentucky,Magoffin County,37.7065,-83.0649,0.77,0.22,0.54,0.107,0.078,0.111,0.164,0.54,0.185,0.7040000000000001,Republican,1,0,0.0628,28147,0.3,0.36,0.05,0.05
Pennsylvania,Butler County,40.9118,-79.9133,0.66,0.33,0.33,0.035,0.062,0.062,0.194,0.647,0.097,0.841,Republican,0.96,0.01,0.0247,70668,0.05,0.33,0.23,0.13
Ohio,Harrison County,40.2938,-81.0911,0.76,0.23,0.53,0.107,0.141,0.153,0.233,0.365,0.248,0.598,Republican,0.95,0.03,0.0274,49689,0.13,0.48,0.08,0.04
Wisconsin,Barron County,45.4237,-91.8483,0.62,0.36,0.26,0.138,0.163,0.07,0.259,0.37,0.30100000000000005,0.629,Republican,0.95,0.02,0.0164,52703,0.1,0.36,0.14,0.07
South Dakota,Gregory County,43.1924,-99.1856,0.78,0.2,0.58,0.113,0.118,0.206,0.264,0.299,0.23099999999999998,0.563,Republican,0.88,0,0.0055,43438,0.11,0.36,0.14,0.06
Indiana,Tippecanoe County,40.3886,-86.8941,0.48,0.49,-0.01,0.093,0.083,0.102,0.204,0.518,0.176,0.722,Democrat,0.81,0.05,0.0264,53130,0.08,0.25,0.21,0.17
