State,county_name,lat,lng,Percent_Republican,Percent_Democrat,Difference,Never,Rarely,Sometimes,Frequently,Always,Never_Rarely,Frequently_Always,Majority,White,Black,UnemploymentRate,Med_Household_Income,LessHS,HSGrad,Bachelors,GradProfDegree
Texas,Ward County,31.5095,-103.1025,0.8,0.19,0.61,0.08,0.052,0.094,0.197,0.577,0.132,0.774,Republican,0.86,0.04,0.0358,62986,0.21,0.36,0.09,0.03
California,Tulare County,36.2201,-118.8005,0.53,0.45,0.08,0.025,0.039,0.115,0.136,0.685,0.064,0.8210000000000001,Republican,0.74,0.02,0.0563,49687,0.29,0.26,0.1,0.05
New Mexico,Los Alamos County,35.8694,-106.3074,0.35,0.61,-0.27,0.001,0.041,0.076,0.173,0.709,0.042,0.8819999999999999,Democrat,0.86,0.01,0.0233,121324,0.02,0.09,0.27,0.41
Minnesota,Red Lake County,47.8717,-96.0953,0.66,0.31,0.35,0.095,0.241,0.194,0.184,0.286,0.33599999999999997,0.47,Republican,0.95,0,0.0188,58576,0.07,0.37,0.13,0.03
Missouri,Camden County,38.027,-92.766,0.76,0.23,0.53,0.266,0.093,0.147,0.124,0.371,0.359,0.495,Republican,0.96,0.01,0.0243,53478,0.1,0.38,0.13,0.08
New York,Onondaga County,43.0058,-76.1946,0.39,0.59,-0.21,0.019,0.008,0.054,0.163,0.756,0.027,0.919,Democrat,0.8,0.11,0.033,61359,0.09,0.25,0.2,0.16
Colorado,La Plata County,37.2866,-107.8433,0.4,0.58,-0.18,0.043,0.02,0.122,0.274,0.541,0.063,0.8150000000000001,Democrat,0.88,0,0.027,68685,0.04,0.2,0.28,0.17
Mississippi,Adams County,31.4829,-91.3535,0.41,0.58,-0.16,0.113,0.112,0.131,0.084,0.56,0.225,0.644,Democrat,0.41,0.56,0.0461,29936,0.22,0.33,0.1,0.07
North Carolina,Hertford County,36.3591,-76.982,0.33,0.67,-0.34,0.02,0.007,0.06,0.217,0.696,0.027,0.9129999999999999,Democrat,0.35,0.59,0.0485,41028,0.19,0.33,0.09,0.06
Nebraska,Kearney County,40.5067,-98.948,0.78,0.19,0.59,0.062,0.127,0.094,0.318,0.399,0.189,0.7170000000000001,Republican,0.97,0,0.0195,60266,0.04,0.29,0.2,0.07
Washington,Lincoln County,47.5763,-118.4187,0.73,0.24,0.49,0.017,0.086,0.023,0.108,0.765,0.103,0.873,Republican,0.93,0.01,0.0184,54631,0.07,0.29,0.17,0.08
North Carolina,Hoke County,35.0175,-79.2373,0.44,0.55,-0.11,0.009,0.047,0.092,0.236,0.616,0.056,0.852,Democrat,0.44,0.34,0.0515,48072,0.13,0.29,0.12,0.06
Indiana,Switzerland County,38.8262,-85.037,0.75,0.23,0.52,0.089,0.125,0.209,0.234,0.344,0.214,0.578,Republican,0.96,0.01,0.0352,49383,0.16,0.46,0.08,0.03
Texas,Harris County,29.8577,-95.3936,0.43,0.56,-0.13,0.019,0.024,0.069,0.152,0.736,0.043,0.888,Democrat,0.63,0.19,0.0393,61705,0.19,0.23,0.2,0.11
North Carolina,Alleghany County,36.4913,-81.1279,0.75,0.24,0.5,0.153,0.067,0.067,0.21,0.504,0.22,0.714,Republican,0.95,0.02,0.0203,37830,0.23,0.29,0.1,0.07
North Dakota,Sheridan County,47.5755,-100.3456,0.85,0.13,0.72,0.203,0.186,0.091,0.285,0.235,0.389,0.52,Republican,0.99,0,0.0108,51055,0.12,0.37,0.13,0.01
Kentucky,Menifee County,37.9414,-83.5989,0.75,0.24,0.5,0.161,0.088,0.067,0.215,0.468,0.249,0.683,Republican,0.98,0,0.0156,39325,0.23,0.45,0.08,0.03
New Hampshire,Merrimack County,43.2975,-71.6802,0.44,0.54,-0.1,0.085,0.067,0.075,0.158,0.615,0.15200000000000002,0.773,Democrat,0.94,0.01,0.0237,75737,0.07,0.28,0.2,0.15
Georgia,Lowndes County,30.8338,-83.2677,0.55,0.43,0.12,0.108,0.101,0.149,0.208,0.435,0.20900000000000002,0.643,Republican,0.57,0.36,0.0369,42441,0.13,0.31,0.15,0.1
Kentucky,Rowan County,38.1963,-83.4211,0.6,0.39,0.21,0.159,0.097,0.047,0.231,0.467,0.256,0.6980000000000001,Republican,0.96,0.02,0.0263,38230,0.16,0.33,0.12,0.13
Ohio,Champaign County,40.1377,-83.7695,0.73,0.25,0.48,0.084,0.051,0.274,0.269,0.321,0.135,0.5900000000000001,Republican,0.95,0.02,0.0309,60112,0.09,0.46,0.11,0.06
Texas,Terry County,33.1738,-102.3352,0.78,0.21,0.57,0.034,0.066,0.061,0.226,0.613,0.1,0.839,Republican,0.91,0.05,0.052,44627,0.32,0.32,0.08,0.03
Michigan,Gladwin County,43.9907,-84.3883,0.68,0.31,0.37,0.025,0.024,0.109,0.338,0.503,0.049,0.841,Republican,0.97,0,0.0265,44619,0.13,0.39,0.08,0.05
Iowa,Tama County,42.0798,-92.5326,0.59,0.4,0.19,0.066,0.053,0.209,0.181,0.491,0.119,0.6719999999999999,Republican,0.88,0.01,0.0221,56037,0.09,0.4,0.12,0.04
South Dakota,Turner County,43.3109,-97.1487,0.72,0.25,0.47,0.084,0.176,0.115,0.251,0.375,0.26,0.626,Republican,0.98,0,0.0139,59242,0.08,0.34,0.17,0.07
Oregon,Lincoln County,44.642,-123.8682,0.41,0.57,-0.16,0.001,0.012,0.047,0.131,0.81,0.013000000000000001,0.9410000000000001,Democrat,0.88,0.01,0.0301,47882,0.09,0.27,0.15,0.1
Kansas,Geary County,39.0024,-96.7525,0.56,0.41,0.15,0.05,0.068,0.113,0.27,0.499,0.11800000000000001,0.769,Republican,0.68,0.19,0.0234,53133,0.06,0.25,0.15,0.08
Tennessee,Roane County,35.8479,-84.5232,0.74,0.23,0.51,0.074,0.142,0.105,0.274,0.405,0.21599999999999997,0.679,Republican,0.94,0.02,0.0326,53367,0.11,0.36,0.12,0.08
Georgia,Jackson County,34.1339,-83.5664,0.78,0.2,0.58,0.125,0.085,0.117,0.24,0.434,0.21000000000000002,0.6739999999999999,Republican,0.86,0.07,0.0254,65385,0.16,0.32,0.15,0.08
North Dakota,Griggs County,47.4573,-98.237,0.73,0.25,0.48,0.162,0.054,0.197,0.217,0.37,0.216,0.587,Republican,0.95,0,0.0113,53565,0.11,0.33,0.2,0.06
Tennessee,Marion County,35.1293,-85.622,0.75,0.24,0.51,0.115,0.122,0.135,0.247,0.381,0.237,0.628,Republican,0.93,0.03,0.0211,49432,0.18,0.39,0.09,0.04
Oklahoma,Le Flore County,34.9003,-94.7034,0.81,0.18,0.63,0.142,0.152,0.156,0.196,0.354,0.294,0.55,Republican,0.76,0.02,0.029,40677,0.16,0.41,0.09,0.05
New Jersey,Camden County,39.8035,-74.9597,0.32,0.66,-0.33,0.028,0.005,0.027,0.137,0.802,0.033,0.9390000000000001,Democrat,0.64,0.19,0.0439,70451,0.11,0.3,0.2,0.12
South Carolina,Florence County,34.0245,-79.703,0.51,0.48,0.02,0.114,0.08,0.133,0.109,0.564,0.194,0.6729999999999999,Republican,0.54,0.43,0.0384,47058,0.15,0.33,0.15,0.09
South Carolina,Charleston County,32.8346,-79.9531,0.43,0.56,-0.13,0.036,0.059,0.062,0.186,0.657,0.095,0.843,Democrat,0.68,0.27,0.0237,64022,0.08,0.23,0.28,0.16
Washington,Pend Oreille County,48.5323,-117.274,0.67,0.3,0.37,0.027,0.122,0.052,0.212,0.587,0.149,0.7989999999999999,Republican,0.9,0,0.0335,50591,0.09,0.31,0.14,0.07
Nebraska,Cedar County,42.5993,-97.2524,0.83,0.14,0.69,0.207,0.163,0.161,0.177,0.293,0.37,0.47,Republican,0.97,0,0.0074,61869,0.08,0.35,0.15,0.06
Ohio,Summit County,41.126,-81.5322,0.45,0.54,-0.1,0.048,0.056,0.125,0.207,0.565,0.10400000000000001,0.7719999999999999,Democrat,0.79,0.15,0.0346,57181,0.08,0.3,0.21,0.12
Kansas,Sumner County,37.2373,-97.4765,0.74,0.24,0.51,0.104,0.039,0.115,0.298,0.444,0.143,0.742,Republican,0.94,0.01,0.0222,55000,0.08,0.35,0.17,0.06
Texas,Dallam County,36.2779,-102.6022,0.86,0.12,0.74,0.119,0.074,0.123,0.289,0.396,0.193,0.685,Republican,0.9,0.01,0.0138,58811,0.3,0.28,0.12,0.04
Iowa,Buchanan County,42.4708,-91.8379,0.6,0.39,0.21,0.021,0.124,0.087,0.394,0.373,0.145,0.767,Republican,0.97,0,0.0149,64837,0.06,0.39,0.15,0.06
Wisconsin,Waushara County,44.1131,-89.2429,0.66,0.32,0.34,0.109,0.147,0.202,0.186,0.356,0.256,0.542,Republican,0.93,0.01,0.0237,52810,0.13,0.42,0.1,0.06
Texas,Trinity County,31.0888,-95.1355,0.8,0.19,0.61,0.052,0.077,0.065,0.181,0.625,0.129,0.806,Republican,0.86,0.1,0.0331,41357,0.17,0.36,0.09,0.03
Georgia,White County,34.6464,-83.7471,0.82,0.16,0.66,0.057,0.064,0.099,0.347,0.433,0.121,0.78,Republican,0.94,0.01,0.0182,52493,0.15,0.31,0.13,0.1
Georgia,Morgan County,33.5909,-83.4923,0.7,0.29,0.42,0.061,0.064,0.093,0.168,0.614,0.125,0.782,Republican,0.74,0.23,0.0231,66178,0.12,0.36,0.12,0.09
Colorado,Moffat County,40.6184,-108.2074,0.81,0.17,0.64,0.041,0.142,0.162,0.284,0.371,0.183,0.655,Republican,0.94,0.01,0.0278,57229,0.11,0.39,0.11,0.06
Texas,Shackelford County,32.7359,-99.3541,0.91,0.08,0.83,0.061,0.099,0.14,0.183,0.518,0.16,0.7010000000000001,Republican,0.96,0,0.0321,46935,0.14,0.22,0.22,0.08
Alabama,Morgan County,34.4535,-86.8529,0.74,0.25,0.49,0.078,0.077,0.082,0.304,0.459,0.155,0.763,Republican,0.8,0.13,0.0292,52156,0.16,0.3,0.15,0.07
Texas,Sherman County,36.2777,-101.8934,0.89,0.09,0.8,0.125,0.073,0.129,0.267,0.406,0.198,0.673,Republican,0.88,0.01,0.0057,51926,0.21,0.31,0.12,0.03
North Dakota,Golden Valley County,46.9402,-103.8466,0.85,0.13,0.72,0.187,0.206,0.149,0.256,0.203,0.393,0.459,Republican,0.93,0,0.0199,58690,0.07,0.25,0.23,0.04
Ohio,Morrow County,40.5241,-82.7941,0.76,0.22,0.54,0.059,0.094,0.075,0.31,0.462,0.153,0.772,Republican,0.96,0.01,0.0205,59452,0.12,0.44,0.1,0.04
Mississippi,Tunica County,34.652,-90.3755,0.26,0.72,-0.46,0.131,0.036,0.089,0.176,0.568,0.167,0.744,Democrat,0.19,0.78,0.0473,39370,0.16,0.33,0.11,0.06
South Dakota,Oglala Lakota County,43.3355,-102.5516,0.09,0.88,-0.79,0.15,0.075,0.139,0.281,0.355,0.22499999999999998,0.636,Democrat,0.05,0,0.0802,31997,0.26,0.28,0.07,0.03
Georgia,Bleckley County,32.4344,-83.3279,0.76,0.23,0.53,0.089,0.031,0.117,0.256,0.508,0.12,0.764,Republican,0.7,0.28,0.0287,48174,0.11,0.41,0.09,0.09
Louisiana,Sabine Parish,31.564,-93.5546,0.83,0.16,0.66,0.098,0.08,0.113,0.145,0.564,0.178,0.709,Republican,0.69,0.16,0.0455,40336,0.14,0.47,0.09,0.05
Georgia,Butts County,33.2879,-83.9572,0.71,0.28,0.44,0.125,0.037,0.144,0.163,0.53,0.162,0.6930000000000001,Republican,0.68,0.29,0.0245,43471,0.19,0.45,0.09,0.04
Connecticut,Middlesex County,41.4632,-72.5351,0.41,0.57,-0.16,0.003,0.007,0.055,0.128,0.807,0.01,0.935,Democrat,0.88,0.06,0.0312,85898,0.06,0.26,0.24,0.19
Minnesota,Polk County,47.7739,-96.4019,0.63,0.35,0.28,0.104,0.208,0.197,0.196,0.295,0.312,0.491,Republican,0.92,0.02,0.0222,59343,0.08,0.31,0.18,0.07
Illinois,Ford County,40.5972,-88.2233,0.72,0.25,0.47,0.011,0.082,0.167,0.172,0.567,0.093,0.7389999999999999,Republican,0.95,0.01,0.028,52092,0.1,0.36,0.14,0.07
Alabama,Henry County,31.5147,-85.2414,0.71,0.28,0.43,0.066,0.068,0.17,0.258,0.438,0.134,0.696,Republican,0.71,0.27,0.0308,50017,0.21,0.33,0.1,0.07
West Virginia,Pendleton County,38.6807,-79.3509,0.76,0.22,0.54,0.06,0.142,0.128,0.214,0.456,0.20199999999999999,0.67,Republican,0.96,0.03,0.0227,42312,0.19,0.51,0.09,0.05
Illinois,Sangamon County,39.7582,-89.6589,0.51,0.47,0.04,0.017,0.03,0.155,0.233,0.564,0.047,0.7969999999999999,Republican,0.82,0.13,0.0369,61912,0.08,0.27,0.22,0.13
Montana,Petroleum County,47.1175,-108.2502,0.85,0.11,0.74,0.157,0.154,0.174,0.247,0.269,0.311,0.516,Republican,0.94,0,0.0243,51250,0.01,0.39,0.26,0.06
North Carolina,Hyde County,35.5305,-76.2508,0.57,0.42,0.15,0.133,0.03,0.08,0.259,0.498,0.163,0.757,Republican,0.67,0.3,0.0325,39663,0.19,0.39,0.08,0.02
Alabama,Marshall County,34.367,-86.3066,0.84,0.15,0.69,0.075,0.064,0.129,0.253,0.479,0.139,0.732,Republican,0.93,0.03,0.0235,45983,0.18,0.31,0.13,0.06
Texas,Val Verde County,29.8929,-101.1517,0.54,0.44,0.1,0.003,0.05,0.09,0.072,0.784,0.053000000000000005,0.856,Republican,0.93,0.01,0.0271,46147,0.32,0.24,0.13,0.06
Colorado,Teller County,38.8822,-105.1618,0.66,0.31,0.35,0.105,0.087,0.066,0.145,0.597,0.192,0.742,Republican,0.95,0.01,0.0352,66592,0.03,0.23,0.23,0.15
Louisiana,Bienville Parish,32.3472,-93.056,0.55,0.44,0.12,0.078,0.052,0.17,0.291,0.409,0.13,0.7,Republican,0.55,0.43,0.0197,30272,0.16,0.45,0.08,0.05
Missouri,Ralls County,39.5277,-91.522,0.78,0.21,0.56,0.16,0.106,0.248,0.196,0.29,0.266,0.486,Republican,0.96,0.01,0.0296,55377,0.1,0.49,0.1,0.05
Louisiana,Union Parish,32.8318,-92.3748,0.75,0.24,0.51,0.071,0.142,0.106,0.244,0.436,0.21299999999999997,0.6799999999999999,Republican,0.72,0.25,0.0226,44100,0.14,0.45,0.13,0.04
Georgia,Bryan County,32.0145,-81.4436,0.67,0.32,0.35,0.033,0.039,0.095,0.238,0.595,0.07200000000000001,0.833,Republican,0.77,0.14,0.0435,72624,0.08,0.24,0.21,0.13
Washington,Franklin County,46.5347,-118.8989,0.56,0.41,0.15,0.106,0.013,0.059,0.069,0.753,0.119,0.8220000000000001,Republican,0.7,0.02,0.0424,63584,0.25,0.26,0.11,0.06
Ohio,Mahoning County,41.0146,-80.7763,0.5,0.48,0.02,0.046,0.099,0.099,0.231,0.525,0.14500000000000002,0.756,Republican,0.8,0.15,0.0465,46042,0.09,0.38,0.16,0.08
Ohio,Huron County,41.1462,-82.5984,0.7,0.29,0.41,0.191,0.064,0.204,0.172,0.369,0.255,0.5409999999999999,Republican,0.96,0.01,0.027,52560,0.11,0.46,0.1,0.05
North Carolina,Pitt County,35.5933,-77.3745,0.45,0.54,-0.09,0.034,0.065,0.085,0.204,0.612,0.099,0.816,Democrat,0.57,0.35,0.0517,47437,0.11,0.24,0.2,0.12
Georgia,Terrell County,31.777,-84.437,0.45,0.54,-0.08,0.019,0.029,0.03,0.167,0.755,0.048,0.922,Democrat,0.36,0.6,0.0388,34768,0.23,0.32,0.06,0.06
Louisiana,West Carroll Parish,32.7885,-91.4568,0.85,0.14,0.71,0.022,0.063,0.124,0.114,0.677,0.08499999999999999,0.791,Republican,0.8,0.16,0.0485,38500,0.21,0.46,0.08,0.04
Iowa,Union County,41.0277,-94.2424,0.65,0.33,0.32,0.03,0.125,0.172,0.21,0.462,0.155,0.672,Republican,0.97,0.01,0.0286,49900,0.1,0.36,0.12,0.06
Pennsylvania,Schuylkill County,40.7058,-76.216,0.69,0.29,0.4,0.066,0.002,0.048,0.173,0.711,0.068,0.8839999999999999,Republican,0.94,0.03,0.0326,52280,0.11,0.47,0.11,0.05
Washington,Pacific County,46.5557,-123.7041,0.49,0.48,0.01,0.082,0.016,0.128,0.063,0.712,0.098,0.7749999999999999,Republican,0.87,0,0.0268,46733,0.12,0.3,0.12,0.07
Ohio,Paulding County,41.1166,-84.5802,0.75,0.23,0.51,0.095,0.061,0.24,0.314,0.29,0.156,0.604,Republican,0.95,0.01,0.0248,55330,0.1,0.48,0.11,0.04
Indiana,Lawrence County,38.8412,-86.4835,0.74,0.24,0.51,0.092,0.117,0.109,0.191,0.491,0.20900000000000002,0.6819999999999999,Republican,0.97,0,0.026,53610,0.12,0.42,0.1,0.06
North Carolina,Durham County,36.036,-78.8766,0.18,0.8,-0.62,0.017,0.014,0.033,0.104,0.832,0.031,0.9359999999999999,Democrat,0.52,0.36,0.0309,60958,0.12,0.18,0.25,0.23
Virginia,Harrisonburg city,38.4361,-78.8735,0.33,0.65,-0.32,0.029,0.066,0.129,0.205,0.571,0.095,0.7759999999999999,Democrat,0.8,0.07,0.0291,46679,0.16,0.26,0.2,0.16
Illinois,White County,38.0875,-88.1796,0.78,0.2,0.58,0.19,0.144,0.095,0.239,0.332,0.33399999999999996,0.571,Republican,0.98,0.01,0.0375,49290,0.1,0.37,0.1,0.05
South Dakota,Harding County,45.5803,-103.4958,0.92,0.06,0.86,0.105,0.068,0.145,0.235,0.446,0.173,0.681,Republican,0.93,0.02,0.0159,59655,0.09,0.32,0.22,0.04
Alabama,Dale County,31.4318,-85.611,0.72,0.26,0.46,0.089,0.113,0.118,0.22,0.46,0.202,0.68,Republican,0.72,0.2,0.0398,47214,0.14,0.32,0.12,0.06
Alabama,Bullock County,32.1005,-85.7157,0.25,0.75,-0.5,0.031,0.04,0.144,0.286,0.5,0.07100000000000001,0.786,Democrat,0.22,0.75,0.0208,37785,0.25,0.4,0.07,0.05
Texas,Matagorda County,28.8212,-96.011,0.72,0.27,0.45,0.004,0.051,0.113,0.161,0.67,0.05499999999999999,0.8310000000000001,Republican,0.68,0.1,0.0336,48913,0.19,0.32,0.13,0.05
North Carolina,Lenoir County,35.2388,-77.6412,0.51,0.48,0.03,0.109,0.041,0.112,0.228,0.51,0.15,0.738,Republican,0.55,0.39,0.0646,39402,0.2,0.32,0.1,0.05
Kentucky,Pike County,37.4691,-82.3958,0.8,0.19,0.61,0.096,0.088,0.123,0.148,0.545,0.184,0.6930000000000001,Republican,0.98,0.01,0.0393,34856,0.23,0.39,0.07,0.06
Ohio,Meigs County,39.0822,-82.0229,0.76,0.23,0.53,0.072,0.137,0.182,0.177,0.432,0.20900000000000002,0.609,Republican,0.97,0.01,0.0404,44899,0.16,0.42,0.08,0.05
Minnesota,Crow Wing County,46.4824,-94.0709,0.64,0.34,0.3,0.147,0.112,0.081,0.249,0.411,0.259,0.6599999999999999,Republican,0.96,0.01,0.0178,56549,0.06,0.3,0.16,0.09
Ohio,Licking County,40.0916,-82.4831,0.63,0.35,0.28,0.056,0.102,0.176,0.127,0.539,0.158,0.666,Republican,0.91,0.04,0.0278,64589,0.08,0.34,0.17,0.09
Iowa,Boone County,42.0365,-93.9316,0.57,0.41,0.16,0.09,0.08,0.1,0.197,0.533,0.16999999999999998,0.73,Republican,0.96,0.01,0.0186,64000,0.06,0.32,0.18,0.07
Illinois,Warren County,40.8488,-90.615,0.59,0.39,0.2,0.042,0.02,0.141,0.276,0.522,0.062,0.798,Republican,0.88,0.03,0.0481,50310,0.13,0.32,0.16,0.07
Idaho,Valley County,44.7666,-115.5663,0.56,0.42,0.14,0.041,0.118,0.102,0.378,0.361,0.159,0.739,Republican,0.99,0,0.009,64475,0.05,0.27,0.2,0.11
Illinois,Moultrie County,39.6415,-88.6193,0.74,0.25,0.49,0.081,0.073,0.213,0.243,0.39,0.154,0.633,Republican,0.98,0.01,0.0189,61456,0.15,0.33,0.12,0.07
Mississippi,Quitman County,34.2514,-90.2891,0.32,0.67,-0.35,0.041,0.101,0.1,0.312,0.446,0.14200000000000002,0.758,Democrat,0.27,0.72,0.1018,25283,0.29,0.31,0.07,0.04
Michigan,Osceola County,43.9898,-85.3253,0.72,0.26,0.46,0.07,0.073,0.089,0.238,0.531,0.14300000000000002,0.769,Republican,0.96,0.01,0.0355,44032,0.11,0.44,0.09,0.05
Arkansas,Howard County,34.0888,-93.9935,0.7,0.28,0.42,0.081,0.07,0.145,0.145,0.56,0.15100000000000002,0.7050000000000001,Republican,0.67,0.21,0.04,36059,0.15,0.38,0.1,0.03
Indiana,Harrison County,38.1952,-86.1113,0.72,0.26,0.46,0.094,0.084,0.205,0.258,0.359,0.178,0.617,Republican,0.97,0.01,0.0301,57712,0.12,0.4,0.12,0.07
Washington,Stevens County,48.3991,-117.8552,0.7,0.28,0.42,0.05,0.039,0.069,0.257,0.585,0.089,0.842,Republican,0.89,0,0.026,51775,0.09,0.35,0.12,0.07
Illinois,Richland County,38.7124,-88.0851,0.76,0.23,0.53,0.111,0.151,0.107,0.3,0.331,0.262,0.631,Republican,0.96,0.01,0.034,48894,0.11,0.3,0.14,0.07
Colorado,Bent County,37.9551,-103.0717,0.66,0.32,0.34,0.033,0.036,0.172,0.191,0.567,0.069,0.758,Republican,0.91,0.04,0.0178,30900,0.15,0.49,0.08,0.03
Wyoming,Campbell County,44.2482,-105.5482,0.87,0.1,0.77,0.216,0.164,0.131,0.201,0.289,0.38,0.49,Republican,0.94,0,0.0259,82659,0.07,0.36,0.14,0.05
New York,Putnam County,41.4267,-73.7495,0.53,0.45,0.08,0.003,0.018,0.022,0.105,0.852,0.020999999999999998,0.957,Republican,0.87,0.03,0.03,104486,0.07,0.27,0.23,0.17
Kansas,Chautauqua County,37.15,-96.2454,0.85,0.13,0.73,0.128,0.137,0.185,0.214,0.337,0.265,0.551,Republican,0.88,0.01,0.0372,40298,0.13,0.35,0.12,0.04
Alabama,Chambers County,32.9143,-85.392,0.57,0.42,0.16,0.117,0.037,0.15,0.136,0.56,0.154,0.6960000000000001,Republican,0.58,0.4,0.0223,42289,0.18,0.37,0.1,0.04
Florida,Manatee County,27.4719,-82.3153,0.58,0.42,0.16,0.074,0.037,0.062,0.201,0.626,0.11099999999999999,0.827,Republican,0.85,0.09,0.0316,59009,0.1,0.3,0.18,0.12
California,Kings County,36.0753,-119.8155,0.55,0.43,0.12,0.075,0.016,0.049,0.094,0.766,0.091,0.86,Republican,0.68,0.06,0.0395,57848,0.27,0.25,0.1,0.05
Kansas,Haskell County,37.5622,-100.8712,0.8,0.19,0.61,0.153,0.107,0.137,0.239,0.364,0.26,0.603,Republican,0.86,0,0.0209,55064,0.28,0.19,0.13,0.04
North Carolina,Stokes County,36.4019,-80.2395,0.78,0.21,0.58,0.015,0.034,0.116,0.247,0.588,0.049,0.835,Republican,0.93,0.04,0.0355,48054,0.16,0.4,0.11,0.04
Michigan,Gratiot County,43.2927,-84.6049,0.63,0.35,0.28,0.057,0.074,0.105,0.169,0.596,0.131,0.765,Republican,0.91,0.06,0.0294,47848,0.09,0.4,0.1,0.06
North Carolina,Transylvania County,35.2021,-82.7982,0.57,0.41,0.16,0.025,0.013,0.047,0.224,0.691,0.038,0.9149999999999999,Republican,0.92,0.05,0.0308,50212,0.11,0.27,0.2,0.13
Minnesota,Olmsted County,44.0038,-92.4018,0.43,0.54,-0.11,0.023,0.101,0.057,0.333,0.485,0.124,0.8180000000000001,Democrat,0.84,0.06,0.0216,76951,0.05,0.2,0.25,0.2
New Jersey,Morris County,40.862,-74.5445,0.47,0.51,-0.04,0.023,0.018,0.049,0.191,0.72,0.040999999999999995,0.911,Democrat,0.82,0.03,0.0293,115527,0.05,0.2,0.31,0.23
Kentucky,Green County,37.264,-85.5531,0.83,0.16,0.67,0.063,0.076,0.127,0.247,0.488,0.139,0.735,Republican,0.95,0.03,0.022,35899,0.25,0.38,0.07,0.06
Virginia,Louisa County,37.9782,-77.9629,0.61,0.38,0.23,0.025,0.045,0.036,0.146,0.748,0.07,0.894,Republican,0.8,0.15,0.0322,60975,0.15,0.33,0.14,0.1
Pennsylvania,Union County,40.963,-77.0622,0.61,0.37,0.24,0.078,0.032,0.103,0.211,0.576,0.11,0.7869999999999999,Republican,0.87,0.06,0.0179,59399,0.13,0.39,0.14,0.12
Pennsylvania,Berks County,40.4163,-75.926,0.53,0.45,0.08,0.036,0.012,0.06,0.174,0.719,0.048,0.893,Republican,0.82,0.05,0.0384,63728,0.13,0.37,0.16,0.09
West Virginia,Raleigh County,37.7714,-81.2486,0.75,0.24,0.5,0.087,0.083,0.257,0.148,0.426,0.16999999999999998,0.574,Republican,0.88,0.08,0.041,43748,0.13,0.4,0.11,0.07
North Dakota,Benson County,48.0694,-99.366,0.56,0.42,0.14,0.289,0.194,0.118,0.195,0.204,0.483,0.399,Republican,0.41,0,0.0326,47667,0.14,0.29,0.12,0.04
Nebraska,Madison County,41.9167,-97.6008,0.75,0.22,0.53,0.251,0.082,0.194,0.156,0.317,0.333,0.473,Republican,0.92,0.01,0.0218,53188,0.1,0.3,0.16,0.07
Wisconsin,Ozaukee County,43.384,-87.9509,0.55,0.43,0.12,0.076,0.113,0.091,0.3,0.42,0.189,0.72,Republican,0.94,0.01,0.0175,85215,0.03,0.2,0.3,0.19
Illinois,DeKalb County,41.8935,-88.7703,0.46,0.51,-0.06,0.007,0.012,0.034,0.191,0.756,0.019,0.9470000000000001,Democrat,0.84,0.08,0.0429,63317,0.08,0.25,0.2,0.12
South Dakota,Butte County,44.9058,-103.5079,0.78,0.2,0.58,0.12,0.085,0.153,0.204,0.438,0.20500000000000002,0.642,Republican,0.94,0.01,0.0348,46508,0.09,0.42,0.14,0.05
New Mexico,Lea County,32.7921,-103.4125,0.79,0.19,0.6,0.112,0.024,0.115,0.331,0.418,0.136,0.749,Republican,0.88,0.04,0.0381,60546,0.26,0.32,0.08,0.05
Illinois,Effingham County,39.0598,-88.5899,0.79,0.19,0.59,0.072,0.072,0.214,0.232,0.41,0.144,0.642,Republican,0.97,0.01,0.0183,56685,0.07,0.36,0.16,0.07
Maryland,Cecil County,39.5712,-75.9407,0.62,0.35,0.27,0.009,0.018,0.054,0.182,0.738,0.026999999999999996,0.9199999999999999,Republican,0.88,0.07,0.0339,76887,0.11,0.36,0.15,0.09
Virginia,Southampton County,36.7204,-77.1061,0.59,0.41,0.18,0.019,0.013,0.063,0.216,0.69,0.032,0.9059999999999999,Republican,0.62,0.32,0.0222,61348,0.15,0.3,0.12,0.06
Pennsylvania,Monroe County,41.0581,-75.3395,0.46,0.53,-0.06,0.019,0.047,0.052,0.061,0.822,0.066,0.883,Democrat,0.76,0.15,0.0403,63934,0.1,0.35,0.16,0.09
New Mexico,McKinley County,35.5807,-108.2618,0.29,0.68,-0.39,0.01,0.06,0.008,0.202,0.721,0.06999999999999999,0.923,Democrat,0.14,0.01,0.0719,33834,0.23,0.34,0.06,0.05
Georgia,Banks County,34.3541,-83.4974,0.89,0.11,0.78,0.136,0.103,0.125,0.238,0.399,0.239,0.637,Republican,0.93,0.03,0.0268,47811,0.24,0.38,0.09,0.05
Iowa,Cherokee County,42.7356,-95.6238,0.69,0.3,0.39,0.183,0.105,0.221,0.182,0.309,0.288,0.491,Republican,0.95,0.02,0.021,56550,0.07,0.36,0.15,0.07
Ohio,Ashtabula County,41.7075,-80.7483,0.61,0.37,0.24,0.144,0.008,0.099,0.257,0.492,0.152,0.749,Republican,0.93,0.04,0.0379,46700,0.14,0.45,0.1,0.05
Oregon,Grant County,44.4916,-119.0073,0.77,0.2,0.57,0.014,0.062,0.132,0.12,0.671,0.076,0.791,Republican,0.95,0,0.0465,44712,0.11,0.36,0.12,0.07
